model,data_ratio,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_best_epoch
CNN,0.05,0.733,0.0515,0.7277,0.0575,16.67
CNN,0.1,0.8369,0.0016,0.8352,0.0043,17.0
CNN,0.2,0.8271,0.0425,0.8257,0.0433,8.0
CNN,0.5,0.8656,0.015,0.8643,0.0143,6.67
CNN,1.0,0.8396,0.0205,0.837,0.0178,9.67
Improved MLP,0.05,0.44,0.1183,0.3538,0.2041,6.0
Improved MLP,0.1,0.5134,0.0071,0.4635,0.0431,11.33
Improved MLP,0.2,0.5797,0.0599,0.5491,0.1065,7.67
Improved MLP,0.5,0.5529,0.0688,0.5219,0.112,4.33
Improved MLP,1.0,0.6102,0.0396,0.6051,0.0413,4.0
